假名	词性	汉字	含义
なう	动1	なう	搓，捻
おる	动1	織る	织，编织
さしだす	动1	差し出す	伸出，拿出
ころがす	动1	転がす	滚转，倒下
かけもどる	动1	駆け戻る	奔回，跑回
わかちあう	动1	分かち合う	分享
はたす	动1	果たす	完成，实现，实行
たもつ	动1	保つ	保持，维持；保，保住
ひっこす	动1	引っ越す	搬家，迁居
たまわる	动1	賜る	赐，赐予
もやす	动1	燃やす	燃烧，激发
ゆらぐ	动1	揺らぐ	摇晃
はじく	动1	弾く	弹，排斥
とばす	动1	飛ばす	使飞起，吹跑，飞溅
はじきとばす	动1	弾き飛ばす	弹飞，弹开
まわす	动1	回す	投资，使用
はずむ	动1	弾む	弹回，起劲
こうずい	动1	洪水	洪水
わきあがる	动1	沸き上がる	沸腾，涌现，煮开
すれちがう	动1	すれ違う	错过去，不一致
あらそう	动1	争う	争夺，竞争
にごる	动1	濁る	混浊，污浊
ちかう	动1	誓う	发誓，宣誓
のうさんぶつ	动1	農産物	农作物
かつぐ	动1	担ぐ	抬，扛
くぐる	动1	くぐる	从下面穿过
ねだる	动1	ねだる	死乞白赖地乞求，央求
よす	动1	止す	停止，作罢
まつる	动1	祭る	祭祀，祭奠
およぼす	动1	及ぼす	影响到，波及，达到
とむらう	动1	弔う	吊丧，吊唁
うつる	动1	映る	映，照
いたむ	动1	痛む	疼痛，伤心
ひろう	动1	拾う	拾起，挑出，雇（车）
すする	动1	すする	啜饮，吮吸
まかす	动1	任す	委托，托付
みだす	动1	乱す	打乱，破坏
くるしむ	动1	苦しむ	苦恼，费力，吃苦
しのぐ	动1	凌ぐ	超过，摆脱，闯过，抵御
さしせまる	动1	差し迫る	迫近，逼近
やぶれる	动1	破れる	破，撕破
へらす	动1	減らす	减少，减轻
そだつ	动1	育つ	发育，成长
ひきおこす	动1	引き起こす	引起，扶起
とりまく	动1	取り巻く	围绕，捧场
よごす	动1	汚す	弄脏
うみだす	动1	生み出す	诞生，创作出，产生
きりたおす	动1	切り倒す	砍倒
およぶ	动1	及ぶ	达，及
かかわる	动1	関わる	相关，关联
とりもどす	动1	取り戻す	取回，收回，挽回
さだまる	动1	定まる	决定，固定，稳定
とざす	动1	閉ざす	锁，封闭
さとる	动1	悟る	觉悟，觉醒
あおぐ	动1	仰ぐ	拜，尊，仰望
こなす	动1	熟す	掌握，运用自如，消化
はげむ	动1	励む	努力，奋勉
いだく	动1	抱く	抱，怀抱
すみつく	动1	住着く	定居
はきだす	动1	吐き出す	吐出
やとう	动1	雇う	雇佣
ながれこむ	动1	流れ込む	流入，流进
ふくれあがる	动1	脹れ上がる	肿起，鼓起
ねあがり	动1	値上がり	价格上涨，涨价
はりめぐらす	动1	張り巡らす	布满，遍布
おおう	动1	被う	盖上，掩盖
うごきまわる	动1	動き回す	不停地走动
おびやかす	动1	脅かす	威胁，威迫
いかす	动1	生かす	发挥，有效利用
くしんする	动1	苦心	苦心，费心
つめこむ	动1	詰め込む	装满，硬灌
たちどまる	动1	立ち止まる	停步，止步
すます	动1	澄ます	若无其事
つまる	动1	詰まる	塞满，挤满，堆满；堵塞，不通
なす	动1	成す	构成，形成
さわる	动1	触る	触，碰，摸
はぶく	动1	省く	省略
なじる	动1	詰る	责问，责备
いばる	动1	威張る	摆架子，骄傲自满
おもいうかぶ	动1	思い浮かぶ	浮起，想起
あらたまる	动1	改まる	郑重其事，庄重
けいしきばる	动1	形式張る	讲究形式，拘泥形式
ふかす	动1	吹かす	（喷）烟，吸烟
のみこむ	动1	飲み込む	吞下，领会
ふる	动1	振る	摇，挥
ののしる	动1	罵る	吵，骂
つぶす	动1	潰す	弄碎，败坏，消磨
いからす	动1	怒らす	惹怒，激怒
くう	动1	食う	吃；咬，叮；吃饭；侵占
あずかる	动1	預かる	参与
うごめかす	动1	うごめかす	扭动（身子）；抽动（鼻子）
あしらう	动1	あしらう	招待，对待
とまどう	动1	戸惑う	不知所措，夜里醒来不辨方向
みのがす	动1	見逃す	看漏，放过
おもいやる	动1	思いやる	体谅，体贴
おび	动1	帯	带子，腰带
さとす	动1	諭す	训谕，晓谕
いとなむ	动1	営む	经营
たくす	动1	托す	托，委托，借口
きりかえす	动1	切り返す	回击，反砍
かっきづく	动1	活気づく	活跃起来
ふくむ	动1	含む	包含，含有
おりこむ	动1	織り込む	织入，穿插，编入
かたる	动1	語る	谈，说
かこ	动1	過去	过去
おりたつ	动1	降り立つ	下去，下来
つく	动1	就く	就（职等）
かけはし	动1	架け橋	桥梁；吊桥，浮桥；梯子
なごむ	动1	和む	温柔，温静
たがやす	动1	耕す	耕，耕作
おしむ	动1	惜しむ	舍不得，惋惜
なつかしがる	动1	懐かしむ	怀念，眷恋
もてあます	动1	持て余す	难以对付
もりあがる	动1	盛り上がる	兴起，高涨
なつく	动1	懐く	依恋，亲近
えがく	动1	描く	画，描写
しゃっきん	动1	借金	借款
ねぎる	动1	値切る	杀价，压价
めくる	动1	巻る	翻（书等），揭开，撕下
どなる	动1	怒鳴る	大声喊叫，大声斥责
あたる	动1	当たる	到达预期效果，成功
まいる	动1	参る	吃不消，认输，折服
さいなむ	动1	苛む	折磨，虐待，责难
うたがう	动1	疑う	怀疑
もたらす	动1	もたらす	造成，招致，带来，带去
ほる	动1	掘る	掘，挖
うながす	动1	促す	促使，促进
のぼる	动1	上る	上，登；进京
きずつく	动1	傷つく	受伤，负伤；受损，受创
くいちがう	动1	食い違う	不一致；有分歧
たゆむ	动1	弛む	松弛，松懈
およぶ	动1	及ぶ	达，及
とどまる	动1	留まる	停止，停留
はるめく	动1	春めく	有春意
なのる	动1	名乗る	作为自己的姓，自称，自报姓名
さぐる	动1	探る	探访；探寻；试探
おぎなう	动1	補う	补充，填补
はじまります	动1	始まります	开始
つくります	动1	作ります	做，制造
ふとります	动1	太ります	胖
とどきます	动1	届きます	收到，送到，寄到
かきます	动1	かきます	画
わかります	动1	分かります	懂，明白
まよいます	动1	迷います	犹豫，难以决定
さきます	动1	咲きます	花开
とおります	动1	通ります	通过，经过
とびます	动1	飛びます	飞，飞行
しにます	动1	死にます	死，死亡
おろします	动1	下ろします	取，卸货
えらびます	动1	選びます	挑选，选择
もうします	动1	申します	是，说，讲，告诉
とります	动1	とります	取，取得
ひらきます	动1	開きます	开，开张
にあいます	动1	似合います	适合，相称
ころびます	动1	転びます	摔，摔倒，跌倒
かわきます	动1	渇きます	渴
なおります	动1	治ります	痊愈，医好
すべります	动1	滑ります	滑，滑行
はこびます	动1	運びます	搬运
おとします	动1	落とします	掉，使落下
すきます	动1	すきます	（肚子）饿，空
わたします	动1	渡します	交给
やります	动1	やります	做
ちがいます	动1	違います	不同，不一样
こみます	动1	込みます	拥挤，混杂
きまります	动1	決まります	定，决定
さがします	动1	探します	找，寻找，寻求
わらいます	动1	笑います	笑
むすびます	动1	結びます	连接，系
ふせぎます	动1	防ぎます	防御，防备，防守
まわります	动1	回ります	走访；转；绕弯
はしります	动1	走ります	跑，奔跑
ふきます	动1	吹きます	吹
かよいます	动1	通います	上学，来往
あつまります	动1	集まります	聚，集合
おどります	动1	踊ります	跳舞
こまります	动1	困ります	为难，难办
たたきます	动1	たたきます	拍，敲，打
ひろいます	动1	拾います	捡，拾
やくします	动1	訳します	翻译
とまります	动1	止まります	停，停住
かわります	动1	変わります	变，转变
がんばります	动1	頑張ります	拼命努力
あやまります	动1	謝ります	道歉
サボります	动1	サボります	逃学，怠工
やぶります	动1	破ります	爽约，打破
まもります	动1	守ります	遵守，保护
そろいます	动1	そろいます	到齐，齐全
よります	动1	寄ります	顺便去；靠近
ひらきます	动1	開きます	开，开张
ひっこします	动1	引っ越します	搬迁
つきます	动1	つきます	灯亮，灯开
さがります	动1	下がります	下降，降低
おこります	动1	怒ります	生气
おこないます	动1	行います	开，举行
あがります	动1	上がります	提高，涨
しまります	动1	閉まります	关闭，关
こわします	动1	壊します	弄坏
わります	动1	割ります	割开，打破，打坏
つきます	动1	付きます	附带，附加
かかります	动1	掛かります	挂，悬挂
よごします	动1	汚します	弄脏
やみます	动1	やみます	停，停息，停止
たちます	动1	建ちます	盖，建
ならびます	动1	並びます	排队，排，列队
かいます	动1	飼います	饲养
やきます	动1	焼きます	烤，烧，烧毁
かせぎます	动1	稼ぎます	挣钱，赚钱
のこります	动1	残ります	剩余，剩下
つつみます	动1	包みます	卷，包裹
たのみます	动1	頼みます	点（菜）；请求；托付
はります	动1	はります	粘，贴
かざります	动1	飾ります	装饰
しまいます	动1	しまいます	收拾起来，放到～里边
あいます	动1	合います	合适，适合
もどします	动1	戻します	放回，返还，返回
いただきます	动1	いただきます	（自谦）吃，喝；得到
ききます	动1	効きます	有效，起作用
いわいます	动1	祝います	祝贺
あたります	动1	当たります	中（彩），抽中
あきます	动1	空きます	空，有空
くさります	动1	腐ります	腐烂，腐败
もちあるきます	动1	持ち歩きます	携带，拿着走
くりかえします	动1	繰り返します	反复
さわぎます	动1	騒ぎます	吵嚷，吵闹
まにあいます	动1	間に合います	来得及，赶得上
なきます	动1	鳴きます	叫，鸣，啼
ねむります	动1	眠ります	睡觉
なります	动1	鳴ります	鸣响，响起
よろこびます	动1	喜びます	喜悦，高兴
やくだちます	动1	役立ちます	有用，有益
やといます	动1	雇います	雇佣
なきます	动1	泣きます	哭，哭泣
ふります	动1	振ります	挥动，摆动
いりくみます	动1	入り組みます	错综复杂
へります	动1	減ります	减少
うごかします	动1	動かします	开动，移动，摇动
みわたします	动1	見渡します	眺望，远眺
つづきます	动1	続きます	继续，持续
なくなります	动1	なくなります	完，丢失
そだちます	动1	育ちます	生长，成长
むかいます	动1	向かいます	往～去
たすかる	动1	助かる	获得帮助；得救
ついていく	动1	ついていく	跟上，跟上去
わく	动1	沸く	沸腾，烧开
わかす	动1	沸かす	烧热，烧开
かわかす	动1	乾かす	弄干，晾干
のぼる	动1	上る	上，登；进京
くだる	动1	下る	下，下去：到地方去
とく	动1	溶く	调拌，调开，溶解
こおる	动1	凍る	结冰，结冻
うけとる	动1	受け取る	接，接收，接受
こもる	动1	こもる	充满，包含
つたわる	动1	伝わる	传，传达；传摇，流传
ゆずる	动1	譲る	让，让给；转让
およぶ	动1	及ぶ	达，及
たつ	动1	経つ	(时间)过，流逝，消逝
しみん	动1	市民	市民
しがいせん	动1	紫外線	紫外线
くわわる	动1	加わる	参加，加，添加，增添
さす	动1	指す	指，指示
うわまわる	动1	上回る	超过，超出
したまわる	动1	下回る	不够……水平，在……一下
なくなる	动1	亡くなる	去世，死亡
ためす	动1	試す	试；尝试；试验
しずむ	动1	沈む	落山；沉没；消沉
できあがる	动1	でき上がる	做好，完成
どうにゅうする	动1	導入する	引进，引入，导入
へらす	动1	減らす	减少，减轻
おう	动1	追う	追，赶；催逼
かんきょうもんだい	动1	環境問題	环境问题
さかん	动1	盛ん	兴盛，旺盛，热烈
たもつ	动1	保つ	保持，维持；保，保住
けいき	动1	景気	市场情况，商业状况，景气
のこす	动1	残す	留下，剩下
もとづく	动1	基づく	依据，根据，基于
しく	动1	敷く	铺，垫
ながびく	动1	長引く	拖延，拖长
はやる	动1	はやる	流行，时髦
いきのこる	动1	生き残る	幸存，保住性命
とがる	动1	とがる	尖，尖细；紧张；发怒
ぬる	动1	塗る	涂，擦，抹
おくる	动1	送る	赠送，授予
ちかづく	动1	近づく	临近．接近，靠近
たまる	动1	たまる	积攒，积存
しぼる	动1	絞る	集中；榨，挤
さぐる	动1	探る	探访；探寻；试探
はなしあう	动1	話し合う	谈，谈话；商量，讨论
そそぐ	动1	注ぐ	加入，注入
くだく	动1	砕く	掰碎，弄碎，打碎
かわる	动1	代わる	代替
あう	动1	遭う	遭遇，碰上
とびだす	动1	飛び出す	跳出，跑出；飞起
ちかよる	动1	近寄る	挨近，靠近
うつ	动1	打つ	敲，打
まとまる	动1	まとまる	一致；归纳；凑齐
とかす	动1	溶かす	溶解，溶化
うつす	动1	写す	拍照；描写；抄写
かたよる	动1	偏る	不平衡；偏颇，偏袒
やぶれる	动1	破れる	破，撕破
しょうさい	动1	詳細	详细情况
カード	动1	カード	卡，卡片
だまる	动1	黙る	不说话，不出声，沉默
うまる	动1	埋まる	埋上，埋藏
そのうち	动1	そのうち	不久，过几天
あんせい	动1	安静	静养，安静
かたみち	动1	片道	单程
ふくむ	动1	含む	包含，含有
にごる	动1	濁る	混浊，污浊
つかる	动1	つかる	浸泡，泡澡
たのしむ	动1	楽しむ	享受，欣赏
こうずい	动1	洪水	洪水
げんいん	动1	原因	原因
～ねんせい	动1	～年制	～年制
たかまる	动1	高まる	高涨，提高
ていねん	动1	定年	退休，退休年龄
たんす	动1	たんす	衣橱，衣柜
ひろまる	动1	広まる	扩大；传播，遍及
つよまる	动1	強まる	强烈起来，强硬起来
よわまる	动1	弱まる	变弱，衰弱
せん	动1	線	线
うみだす	动1	生み出す	诞生，创作出，产生
～りょく	动1	～力	～力
ドイツ	动1	ドイツ	德国
にゅうじょう	动1	入場	入场，进场
ことなる	动1	異なる	不一样，不同
なげかえす	动1	投げ返す	扔回去，投回去
ききまちがえる	动1	聞き間違える	听错，误听
かきまちがえる	动1	書き間違える	写错
いいまちがえる	动1	言い間違える	说错
いいかえす	动1	言い返す	顶嘴；反复说
おせん	动1	汚染	污染
ぎょぎょう	动1	漁業	渔业，水产业
あらたまる	动1	改まる	郑重其事，庄重
であう	动1	出会う	遇见，碰上
よう	动1	酔う	醉，喝醉
ひかえる	动1	控える	抑制，控制，节制
つながる	动1	つながる	牵涉；连接；排列
せきたん	动1	石炭	煤，煤炭
ねあがり	动1	値上がり	价格上涨，涨价
とう	动1	問う	问，打听
うがい	动1	うがい	漱（口）
あたたまる	动1	温まる	暖和，温暖
かいけい	动1	会計	结帐，付款；会计
れつ	动1	列	队，列，行列
うそ	动1	うそ	谎言，假话
グレープフルーツ	动1	グレープフルーツ	葡萄柚
いのる	动1	祈る	祝愿，祈求
まねく	动1	招く	邀请，招待，款待
たすけあう	动1	助け合う	互相帮助，互助
かぎる	动1	限る	限于，只限；限定，限制
うりこむ	动1	売り込む	销售，促销，推销
きこう	动1	気候	气候
とびこむ	动1	飛び込む	跳入，跳进
ほうる	动1	放る	抛，扔；放弃，弃之不顾
なげこむ	动1	投げ込む	投进，投入，扔进
ほうりこむ	动1	放り込む	扔进，投入
もちこむ	动1	持ち込む	带入，带进
ながれこむ	动1	流れ込む	流入，流进
もぐりこむ	动1	潜り込む	潜入，钻入；躲入
～こむ	动1	～込む	～进，～入
べんき	动1	便器	便桶，便盆，便壶，马桶
さかのぼる	动1	さかのぼる	追溯，上溯
とりかこむ	动1	取り囲む	围绕，包围，围拢
とぐ	动1	研ぐ	磨快；磨光亮；淘
つなぐ	动1	つなぐ	连接，拴，系
ベニス	动1	ベニス	威尼斯
ほる	动1	彫る	雕刻，雕，刻
ちゅうかなべ	动1	中華鍋	中式双耳浅底锅
ゆるす	动1	許す	原谅，宽恕；允许，容许
こうばいけいこう	动1	購買傾向	购买意向
とおまわりする	动1	遠回り	绕道，绕远
わざと	动1	わざと	故意，特意，有意
とりのぞく	动1	取り除く	去除，除去
ともなう	动1	伴う	随着，伴随；跟随；符合
しみこむ	动1	染み込む	渗进，渗透，浸入
ふんそう	动1	紛争	争端，纷争，纠纷
てっこうせき	动1	鉄鉱石	铁矿石
しんぱいごと	动1	心配事	心事
くしんする	动1	苦心	苦心，费心
しゃっきん	动1	借金	借款
たたかう	动1	戦う	战斗，斗争
かかわる	动1	関わる	相关，关联
はたす	动1	果たす	完成，实现，实行
ざぶとん	动1	座布団	坐垫
ねじ	动1	ねじ	螺丝钉，螺钉
かんぽうやく	动1	漢方薬	中药

